"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DLY-DUTR-NORMAL","meas_flag_DLY-DUTR-NORMAL","comp_flag_DLY-DUTR-NORMAL","years_DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","meas_flag_DLY-DUTR-STDDEV","comp_flag_DLY-DUTR-STDDEV","years_DLY-DUTR-STDDEV","DLY-PRCP-PCTALL-GE010HI","meas_flag_DLY-PRCP-PCTALL-GE010HI","comp_flag_DLY-PRCP-PCTALL-GE010HI","years_DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","meas_flag_DLY-PRCP-PCTALL-GE025HI","comp_flag_DLY-PRCP-PCTALL-GE025HI","years_DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","meas_flag_DLY-PRCP-PCTALL-GE050HI","comp_flag_DLY-PRCP-PCTALL-GE050HI","years_DLY-PRCP-PCTALL-GE050HI","DLY-TAVG-NORMAL","meas_flag_DLY-TAVG-NORMAL","comp_flag_DLY-TAVG-NORMAL","years_DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","meas_flag_DLY-TAVG-STDDEV","comp_flag_DLY-TAVG-STDDEV","years_DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","meas_flag_DLY-TMAX-NORMAL","comp_flag_DLY-TMAX-NORMAL","years_DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","meas_flag_DLY-TMAX-STDDEV","comp_flag_DLY-TMAX-STDDEV","years_DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","meas_flag_DLY-TMIN-NORMAL","comp_flag_DLY-TMIN-NORMAL","years_DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","meas_flag_DLY-TMIN-STDDEV","comp_flag_DLY-TMIN-STDDEV","years_DLY-TMIN-STDDEV"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-01","-9.0"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.5"," ","S","15","     4.2"," ","S","15","20.4"," ","R","15","-13.7"," ","R","15","24.8"," ","R","15","-14.3"," ","R","15","16.1"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-02","-8.9"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.6"," ","S","15","     4.2"," ","S","15","20.3"," ","R","15","-13.6"," ","R","15","24.8"," ","R","15","-14.3"," ","R","15","15.9"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-03","-8.9"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.6"," ","S","15","     4.3"," ","S","15","20.3"," ","R","15","-13.6"," ","R","15","24.7"," ","R","15","-14.2"," ","R","15","15.8"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-04","-8.8"," ","R","15","-14.2"," ","R","15","    16.2"," ","S","15","     8.7"," ","S","15","     4.3"," ","S","15","20.2"," ","R","15","-13.6"," ","R","15","24.7"," ","R","15","-14.2"," ","R","15","15.7"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-05","-8.8"," ","R","15","-14.2"," ","R","15","    16.2"," ","S","15","     8.7"," ","S","15","     4.3"," ","S","15","20.1"," ","R","15","-13.6"," ","R","15","24.6"," ","R","15","-14.2"," ","R","15","15.6"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-06","-8.7"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.8"," ","S","15","     4.4"," ","S","15","20.1"," ","R","15","-13.6"," ","R","15","24.6"," ","R","15","-14.2"," ","R","15","15.6"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-07","-8.7"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.8"," ","S","15","     4.5"," ","S","15","20.0"," ","R","15","-13.6"," ","R","15","24.5"," ","R","15","-14.2"," ","R","15","15.4"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-08","-8.7"," ","R","15","-14.2"," ","R","15","    16.1"," ","S","15","     8.9"," ","S","15","     4.6"," ","S","15","19.9"," ","R","15","-13.6"," ","R","15","24.5"," ","R","15","-14.2"," ","R","15","15.3"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-09","-8.6"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.0"," ","S","15","     4.7"," ","S","15","19.9"," ","R","15","-13.6"," ","R","15","24.4"," ","R","15","-14.2"," ","R","15","15.3"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-10","-8.6"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.1"," ","S","15","     4.8"," ","S","15","19.8"," ","R","15","-13.6"," ","R","15","24.4"," ","R","15","-14.2"," ","R","15","15.2"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-11","-8.5"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.2"," ","S","15","     4.9"," ","S","15","19.8"," ","R","15","-13.6"," ","R","15","24.4"," ","R","15","-14.2"," ","R","15","15.1"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-12","-8.5"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.3"," ","S","15","     5.0"," ","S","15","19.7"," ","R","15","-13.6"," ","R","15","24.4"," ","R","15","-14.2"," ","R","15","15.1"," ","R","15","-12.4"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-13","-8.4"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.4"," ","S","15","     5.1"," ","S","15","19.7"," ","R","15","-13.7"," ","R","15","24.3"," ","R","15","-14.2"," ","R","15","15.0"," ","R","15","-12.5"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-14","-8.4"," ","R","15","-14.2"," ","R","15","    16.0"," ","S","15","     9.5"," ","S","15","     5.2"," ","S","15","19.7"," ","R","15","-13.7"," ","R","15","24.3"," ","R","15","-14.3"," ","R","15","14.9"," ","R","15","-12.5"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-15","-8.4"," ","R","15","-14.2"," ","R","15","    15.9"," ","S","15","     9.5"," ","S","15","     5.3"," ","S","15","19.6"," ","R","15","-13.7"," ","R","15","24.3"," ","R","15","-14.3"," ","R","15","14.9"," ","R","15","-12.6"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-16","-8.3"," ","R","15","-14.2"," ","R","15","    15.9"," ","S","15","     9.6"," ","S","15","     5.4"," ","S","15","19.6"," ","R","15","-13.7"," ","R","15","24.3"," ","R","15","-14.3"," ","R","15","14.9"," ","R","15","-12.6"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-17","-8.3"," ","R","15","-14.2"," ","R","15","    15.8"," ","S","15","     9.7"," ","S","15","     5.5"," ","S","15","19.6"," ","R","15","-13.8"," ","R","15","24.3"," ","R","15","-14.3"," ","R","15","14.9"," ","R","15","-12.6"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-18","-8.3"," ","R","15","-14.3"," ","R","15","    15.8"," ","S","15","     9.8"," ","S","15","     5.6"," ","S","15","19.6"," ","R","15","-13.8"," ","R","15","24.3"," ","R","15","-14.4"," ","R","15","14.8"," ","R","15","-12.6"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-19","-8.3"," ","R","15","-14.3"," ","R","15","    15.8"," ","S","15","     9.9"," ","S","15","     5.8"," ","S","15","19.6"," ","R","15","-13.8"," ","R","15","24.3"," ","R","15","-14.4"," ","R","15","14.8"," ","R","15","-12.7"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-20","-8.3"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.1"," ","S","15","     5.9"," ","S","15","19.6"," ","R","15","-13.9"," ","R","15","24.3"," ","R","15","-14.4"," ","R","15","14.8"," ","R","15","-12.7"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-21","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.2"," ","S","15","     6.1"," ","S","15","19.6"," ","R","15","-13.9"," ","R","15","24.4"," ","R","15","-14.5"," ","R","15","14.8"," ","R","15","-12.7"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-22","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.3"," ","S","15","     6.3"," ","S","15","19.6"," ","R","15","-13.9"," ","R","15","24.4"," ","R","15","-14.5"," ","R","15","14.8"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-23","-8.2"," ","R","15","-14.3"," ","R","15","    15.8"," ","S","15","    10.5"," ","S","15","     6.5"," ","S","15","19.7"," ","R","15","-13.9"," ","R","15","24.4"," ","R","15","-14.6"," ","R","15","14.9"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-24","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.5"," ","S","15","     6.6"," ","S","15","19.7"," ","R","15","-14.0"," ","R","15","24.4"," ","R","15","-14.6"," ","R","15","14.9"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-25","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.6"," ","S","15","     6.7"," ","S","15","19.7"," ","R","15","-14.0"," ","R","15","24.5"," ","R","15","-14.6"," ","R","15","14.9"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-26","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.7"," ","S","15","     6.9"," ","S","15","19.7"," ","R","15","-14.0"," ","R","15","24.6"," ","R","15","-14.6"," ","R","15","14.9"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-27","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.7"," ","S","15","     6.9"," ","S","15","19.8"," ","R","15","-14.0"," ","R","15","24.6"," ","R","15","-14.6"," ","R","15","15.0"," ","R","15","-12.8"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-28","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.0"," ","S","15","19.8"," ","R","15","-14.1"," ","R","15","24.6"," ","R","15","-14.6"," ","R","15","15.1"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-29","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.1"," ","S","15","19.9"," ","R","15","-14.1"," ","R","15","24.7"," ","R","15","-14.6"," ","R","15","15.1"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-30","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.2"," ","S","15","19.9"," ","R","15","-14.0"," ","R","15","24.7"," ","R","15","-14.6"," ","R","15","15.2"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","01-31","-8.2"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.2"," ","S","15","20.0"," ","R","15","-14.0"," ","R","15","24.7"," ","R","15","-14.6"," ","R","15","15.2"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-01","-8.3"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.3"," ","S","15","20.1"," ","R","15","-14.0"," ","R","15","24.8"," ","R","15","-14.6"," ","R","15","15.3"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-02","-8.3"," ","R","15","-14.3"," ","R","15","    15.7"," ","S","15","    10.8"," ","S","15","     7.3"," ","S","15","20.1"," ","R","15","-14.1"," ","R","15","24.8"," ","R","15","-14.6"," ","R","15","15.3"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-03","-8.3"," ","R","15","-14.3"," ","R","15","    15.6"," ","S","15","    10.8"," ","S","15","     7.3"," ","S","15","20.2"," ","R","15","-14.1"," ","R","15","24.9"," ","R","15","-14.6"," ","R","15","15.4"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-04","-8.3"," ","R","15","-14.3"," ","R","15","    15.6"," ","S","15","    10.7"," ","S","15","     7.3"," ","S","15","20.2"," ","R","15","-14.1"," ","R","15","24.9"," ","R","15","-14.6"," ","R","15","15.5"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-05","-8.3"," ","R","15","-14.4"," ","R","15","    15.5"," ","S","15","    10.6"," ","S","15","     7.3"," ","S","15","20.3"," ","R","15","-14.0"," ","R","15","25.0"," ","R","15","-14.6"," ","R","15","15.6"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-06","-8.4"," ","R","15","-14.4"," ","R","15","    15.4"," ","S","15","    10.6"," ","S","15","     7.3"," ","S","15","20.3"," ","R","15","-14.0"," ","R","15","25.1"," ","R","15","-14.6"," ","R","15","15.6"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-07","-8.4"," ","R","15","-14.4"," ","R","15","    15.4"," ","S","15","    10.5"," ","S","15","     7.2"," ","S","15","20.4"," ","R","15","-14.0"," ","R","15","25.1"," ","R","15","-14.6"," ","R","15","15.7"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-08","-8.4"," ","R","15","-14.4"," ","R","15","    15.3"," ","S","15","    10.3"," ","S","15","     7.2"," ","S","15","20.4"," ","R","15","-14.0"," ","R","15","25.1"," ","R","15","-14.6"," ","R","15","15.8"," ","R","15","-12.9"," ","R","15"
"USC00084050","HOLLYWOOD, FL US"," 26.0281"," -80.1342","   2.7","02-09","-8.4"," ","R","15","-14.4"," ","R","15","    15.2"," ","S","15","    10.2"," ","S","15","     7.1"," ","S","15","20.5"," ","R","15","-14.0"," ","R","15","25.2"," ","R","15","-14.6"," ","R","15","15.8"," ","R","15","-12.9"," ","R","15"
