STATION_ID,STATION,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
USC00081306,CAPE FLORIDA,FL,US,25.6719,-80.1567,1.8
USC00083163,FT LAUDERDALE,FL,US,26.1019,-80.2011,4.9
USC00083168,FT LAUDERDALE BEACH,FL,US,26.1408,-80.1061,1.2
USW00012849,FT LAUDERDALE HOLLYWOOD AP,FL,US,26.0719,-80.1536,3.4
US1FLMD0022,HAMMOCKS 0.5 SSE,FL,US,25.665,-80.4395,2.7
USC00083909,HIALEAH,FL,US,25.8175,-80.2858,3.7
USC00084050,HOLLYWOOD,FL,US,26.0281,-80.1342,2.7
USW00092809,HOLLYWOOD NORTH PERRY AP,FL,US,25.9989,-80.2411,2.7
USW00092811,MIAMI BEACH,FL,US,25.8064,-80.1336,0.3
USW00012839,MIAMI INTL AP,FL,US,25.7906,-80.3164,8.8
USW00012888,MIAMI KENDALL TAMIAMI EXEC AP,FL,US,25.6475,-80.4331,3
USC00085667,MIAMI NWSFO,FL,US,25.7553,-80.3836,4.3
USW00012882,MIAMI OPA LOCKA AP,FL,US,25.9069,-80.2803,3
USC00086315,N MIAMI BEACH #2,FL,US,25.95,-80.2158,3
USC00087020,PERRINE 4W,FL,US,25.5819,-80.4361,3
US1FLMD0007,SUNSET 2.4 SW,FL,US,25.6835,-80.3815,11
