STATION,NAME,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-DUTR-NORMAL,DLY-TAVG-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,DLY-DUTR-STDDEV,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE025HI,DLY-PRCP-PCTALL-GE050HI,Target_Temperature,Rain_Tomorrow
USC00083163,"FT LAUDERDALE, FL US",20.0,24.7,15.3,-8.4,-13.8,-14.5,-12.6,-14.3,14.9,8.4,3.4,19.9,0
USC00083163,"FT LAUDERDALE, FL US",19.9,24.6,15.2,-8.4,-13.8,-14.5,-12.6,-14.3,14.9,8.4,3.4,19.8,0
USC00083163,"FT LAUDERDALE, FL US",19.8,24.6,15.1,-8.3,-13.8,-14.5,-12.6,-14.3,14.9,8.4,3.5,19.7,0
USC00083163,"FT LAUDERDALE, FL US",19.7,24.5,15.0,-8.3,-13.8,-14.4,-12.6,-14.3,14.9,8.4,3.5,19.7,0
USC00083163,"FT LAUDERDALE, FL US",19.7,24.4,14.9,-8.2,-13.8,-14.4,-12.6,-14.3,14.9,8.4,3.6,19.6,0
USC00083163,"FT LAUDERDALE, FL US",19.6,24.4,14.8,-8.2,-13.8,-14.4,-12.6,-14.3,14.9,8.4,3.6,19.5,0
USC00083163,"FT LAUDERDALE, FL US",19.5,24.3,14.7,-8.2,-13.8,-14.4,-12.6,-14.3,14.8,8.4,3.7,19.4,0
USC00083163,"FT LAUDERDALE, FL US",19.4,24.3,14.6,-8.1,-13.8,-14.4,-12.6,-14.3,14.8,8.4,3.8,19.4,0
USC00083163,"FT LAUDERDALE, FL US",19.4,24.2,14.6,-8.1,-13.8,-14.4,-12.6,-14.3,14.8,8.5,3.9,19.3,0
USC00083163,"FT LAUDERDALE, FL US",19.3,24.2,14.4,-8.1,-13.8,-14.4,-12.6,-14.3,14.8,8.6,4.0,19.3,0
USC00083163,"FT LAUDERDALE, FL US",19.3,24.2,14.4,-8.0,-13.8,-14.4,-12.6,-14.3,14.7,8.7,4.1,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.2,14.3,-7.9,-13.8,-14.4,-12.6,-14.3,14.7,8.8,4.3,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.1,14.3,-7.9,-13.8,-14.4,-12.7,-14.3,14.7,8.8,4.4,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.1,14.2,-7.9,-13.8,-14.4,-12.7,-14.3,14.6,8.9,4.6,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.1,14.2,-7.9,-13.8,-14.5,-12.7,-14.3,14.5,8.9,4.7,19.1,0
USC00083163,"FT LAUDERDALE, FL US",19.1,24.1,14.2,-7.9,-13.9,-14.5,-12.7,-14.4,14.5,9.0,4.9,19.1,0
USC00083163,"FT LAUDERDALE, FL US",19.1,24.1,14.2,-7.8,-13.9,-14.6,-12.8,-14.4,14.5,9.1,5.1,19.1,0
USC00083163,"FT LAUDERDALE, FL US",19.1,24.1,14.2,-7.8,-13.9,-14.6,-12.8,-14.4,14.5,9.2,5.3,19.1,0
USC00083163,"FT LAUDERDALE, FL US",19.1,24.1,14.2,-7.8,-14.0,-14.6,-12.8,-14.4,14.4,9.3,5.5,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.1,14.2,-7.8,-14.0,-14.6,-12.9,-14.4,14.4,9.4,5.7,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.1,14.2,-7.8,-14.1,-14.7,-12.9,-14.4,14.4,9.6,6.0,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.2,14.2,-7.8,-14.1,-14.7,-12.9,-14.4,14.4,9.7,6.2,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.2,14.2,-7.8,-14.1,-14.7,-12.9,-14.4,14.4,9.9,6.5,19.2,0
USC00083163,"FT LAUDERDALE, FL US",19.2,24.2,14.3,-7.8,-14.1,-14.7,-13.0,-14.4,14.4,10.0,6.7,19.3,0
USC00083163,"FT LAUDERDALE, FL US",19.3,24.2,14.3,-7.9,-14.1,-14.7,-13.0,-14.5,14.3,10.1,6.9,19.3,0
USC00083163,"FT LAUDERDALE, FL US",19.3,24.3,14.4,-7.9,-14.2,-14.7,-13.1,-14.5,14.3,10.3,7.1,19.4,0
USC00083163,"FT LAUDERDALE, FL US",19.4,24.3,14.4,-7.9,-14.2,-14.8,-13.1,-14.5,14.3,10.3,7.2,19.4,0
USC00083163,"FT LAUDERDALE, FL US",19.4,24.4,14.5,-7.9,-14.2,-14.8,-13.1,-14.5,14.3,10.4,7.4,19.5,0
USC00083163,"FT LAUDERDALE, FL US",19.5,24.4,14.6,-7.9,-14.2,-14.7,-13.1,-14.5,14.2,10.5,7.5,19.6,0
USC00083163,"FT LAUDERDALE, FL US",19.6,24.4,14.7,-7.9,-14.2,-14.7,-13.1,-14.6,14.2,10.5,7.6,19.6,0
USC00083163,"FT LAUDERDALE, FL US",19.6,24.5,14.7,-8.0,-14.2,-14.7,-13.1,-14.6,14.1,10.5,7.7,19.7,0
USC00083163,"FT LAUDERDALE, FL US",19.7,24.6,14.8,-8.0,-14.1,-14.7,-13.1,-14.6,14.0,10.5,7.7,19.8,0
USC00083163,"FT LAUDERDALE, FL US",19.8,24.6,14.9,-8.1,-14.1,-14.7,-13.1,-14.6,14.0,10.5,7.8,19.8,0
USC00083163,"FT LAUDERDALE, FL US",19.8,24.7,15.0,-8.1,-14.1,-14.7,-13.1,-14.6,13.9,10.5,7.8,19.9,0
USC00083163,"FT LAUDERDALE, FL US",19.9,24.7,15.1,-8.1,-14.1,-14.7,-13.1,-14.6,13.8,10.5,7.8,20.0,0
USC00083163,"FT LAUDERDALE, FL US",20.0,24.8,15.2,-8.1,-14.1,-14.6,-13.1,-14.6,13.7,10.5,7.8,20.1,0
USC00083163,"FT LAUDERDALE, FL US",20.1,24.8,15.2,-8.2,-14.1,-14.6,-13.1,-14.7,13.6,10.4,7.8,20.1,0
USC00083163,"FT LAUDERDALE, FL US",20.1,24.9,15.3,-8.2,-14.1,-14.6,-13.1,-14.7,13.5,10.3,7.8,20.2,0
USC00083163,"FT LAUDERDALE, FL US",20.2,24.9,15.4,-8.2,-14.1,-14.6,-13.1,-14.7,13.4,10.2,7.7,20.3,0
USC00083163,"FT LAUDERDALE, FL US",20.3,25.0,15.5,-8.3,-14.1,-14.6,-13.1,-14.7,13.3,10.1,7.6,20.3,0
USC00083163,"FT LAUDERDALE, FL US",20.3,25.1,15.6,-8.3,-14.1,-14.6,-13.1,-14.7,13.3,10.0,7.6,20.4,0
USC00083163,"FT LAUDERDALE, FL US",20.4,25.1,15.7,-8.3,-14.1,-14.6,-13.1,-14.7,13.2,9.9,7.5,20.4,0
USC00083163,"FT LAUDERDALE, FL US",20.4,25.2,15.7,-8.3,-14.1,-14.6,-13.1,-14.8,13.1,9.8,7.4,20.5,0
USC00083163,"FT LAUDERDALE, FL US",20.5,25.2,15.8,-8.3,-14.1,-14.6,-13.1,-14.8,13.1,9.7,7.3,20.6,0
USC00083163,"FT LAUDERDALE, FL US",20.6,25.3,15.9,-8.4,-14.1,-14.6,-13.2,-14.8,12.9,9.6,7.1,20.6,0
USC00083163,"FT LAUDERDALE, FL US",20.6,25.3,15.9,-8.4,-14.1,-14.5,-13.2,-14.8,12.8,9.5,7.0,20.7,0
USC00083163,"FT LAUDERDALE, FL US",20.7,25.3,16.0,-8.4,-14.1,-14.5,-13.2,-14.8,12.7,9.3,6.8,20.7,0
USC00083163,"FT LAUDERDALE, FL US",20.7,25.4,16.1,-8.4,-14.1,-14.5,-13.1,-14.8,12.5,9.2,6.6,20.8,0
USC00083163,"FT LAUDERDALE, FL US",20.8,25.4,16.1,-8.4,-14.1,-14.5,-13.1,-14.8,12.3,9.0,6.3,20.8,0
USC00083163,"FT LAUDERDALE, FL US",20.8,25.4,16.1,-8.4,-14.1,-14.5,-13.1,-14.8,12.1,8.7,6.1,20.8,0
USC00083163,"FT LAUDERDALE, FL US",20.8,25.5,16.2,-8.4,-14.1,-14.5,-13.1,-14.8,12.0,8.5,5.9,20.9,0
USC00083163,"FT LAUDERDALE, FL US",20.9,25.5,16.2,-8.5,-14.1,-14.6,-13.2,-14.8,11.9,8.4,5.7,20.9,0
USC00083163,"FT LAUDERDALE, FL US",20.9,25.6,16.2,-8.5,-14.1,-14.6,-13.2,-14.8,11.8,8.2,5.5,20.9,0
USC00083163,"FT LAUDERDALE, FL US",20.9,25.6,16.3,-8.5,-14.1,-14.6,-13.2,-14.8,11.8,8.1,5.3,20.9,0
USC00083163,"FT LAUDERDALE, FL US",20.9,25.6,16.3,-8.5,-14.1,-14.6,-13.2,-14.8,11.7,8.0,5.2,20.9,0
USC00083163,"FT LAUDERDALE, FL US",20.9,25.6,16.3,-8.5,-14.2,-14.6,-13.2,-14.7,11.7,7.9,5.0,21.0,0
USC00083163,"FT LAUDERDALE, FL US",21.0,25.6,16.3,-8.5,-14.2,-14.7,-13.2,-14.7,11.6,7.9,4.9,21.0,0
USC00083163,"FT LAUDERDALE, FL US",21.0,25.7,16.3,-8.5,-14.2,-14.7,-13.3,-14.7,11.6,7.8,4.7,21.0,0
USC00083163,"FT LAUDERDALE, FL US",21.0,25.7,16.4,-8.5,-14.3,-14.7,-13.3,-14.7,11.6,7.7,4.6,21.0,0
USC00083163,"FT LAUDERDALE, FL US",21.0,25.7,16.4,-8.5,-14.3,-14.7,-13.3,-14.7,11.5,7.6,4.5,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.7,16.4,-8.4,-14.3,-14.8,-13.3,-14.7,11.4,7.5,4.4,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.7,16.4,-8.4,-14.4,-14.8,-13.4,-14.7,11.3,7.5,4.3,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.7,16.4,-8.4,-14.4,-14.8,-13.4,-14.7,11.3,7.5,4.2,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.7,16.4,-8.4,-14.4,-14.9,-13.5,-14.7,11.3,7.4,4.2,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.8,16.4,-8.4,-14.5,-14.9,-13.5,-14.7,11.3,7.4,4.1,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.8,16.4,-8.4,-14.5,-14.9,-13.6,-14.7,11.3,7.4,4.1,21.1,0
USC00083163,"FT LAUDERDALE, FL US",21.1,25.8,16.4,-8.4,-14.6,-14.9,-13.6,-14.7,11.3,7.4,4.0,21.2,0
USC00083163,"FT LAUDERDALE, FL US",21.2,25.8,16.5,-8.4,-14.6,-14.9,-13.6,-14.7,11.3,7.4,4.0,21.2,0
USC00083163,"FT LAUDERDALE, FL US",21.2,25.9,16.5,-8.4,-14.6,-15.0,-13.6,-14.7,11.2,7.4,4.0,21.2,0
USC00083163,"FT LAUDERDALE, FL US",21.2,25.9,16.5,-8.4,-14.6,-15.0,-13.7,-14.7,11.2,7.4,4.0,21.2,0
USC00083163,"FT LAUDERDALE, FL US",21.2,25.9,16.6,-8.4,-14.7,-15.0,-13.7,-14.7,11.2,7.4,4.0,21.3,0
USC00083163,"FT LAUDERDALE, FL US",21.3,25.9,16.6,-8.4,-14.7,-15.0,-13.7,-14.7,11.2,7.4,4.0,21.3,0
USC00083163,"FT LAUDERDALE, FL US",21.3,26.0,16.6,-8.4,-14.7,-15.1,-13.8,-14.7,11.2,7.4,4.0,21.3,0
USC00083163,"FT LAUDERDALE, FL US",21.3,26.1,16.7,-8.4,-14.7,-15.1,-13.8,-14.7,11.2,7.5,4.0,21.4,0
USC00083163,"FT LAUDERDALE, FL US",21.4,26.1,16.7,-8.4,-14.8,-15.1,-13.8,-14.7,11.3,7.5,4.1,21.4,0
USC00083163,"FT LAUDERDALE, FL US",21.4,26.2,16.7,-8.4,-14.8,-15.1,-13.9,-14.7,11.4,7.6,4.1,21.5,0
USC00083163,"FT LAUDERDALE, FL US",21.5,26.2,16.8,-8.4,-14.8,-15.1,-13.9,-14.7,11.6,7.7,4.2,21.6,0
USC00083163,"FT LAUDERDALE, FL US",21.6,26.3,16.9,-8.4,-14.9,-15.1,-14.0,-14.8,11.7,7.8,4.3,21.6,0
USC00083163,"FT LAUDERDALE, FL US",21.6,26.3,16.9,-8.4,-14.9,-15.2,-14.0,-14.8,11.9,7.9,4.4,21.7,0
USC00083163,"FT LAUDERDALE, FL US",21.7,26.4,17.0,-8.4,-14.9,-15.2,-14.1,-14.8,12.1,8.0,4.5,21.8,0
USC00083163,"FT LAUDERDALE, FL US",21.8,26.4,17.1,-8.4,-14.9,-15.2,-14.1,-14.8,12.2,8.1,4.6,21.8,0
USC00083163,"FT LAUDERDALE, FL US",21.8,26.5,17.2,-8.4,-15.0,-15.2,-14.2,-14.8,12.4,8.2,4.7,21.9,0
USC00083163,"FT LAUDERDALE, FL US",21.9,26.6,17.3,-8.4,-15.0,-15.2,-14.2,-14.9,12.5,8.3,4.8,22.0,0
USC00083163,"FT LAUDERDALE, FL US",22.0,26.7,17.3,-8.4,-15.1,-15.2,-14.3,-14.9,12.7,8.4,4.8,22.1,0
USC00083163,"FT LAUDERDALE, FL US",22.1,26.8,17.4,-8.5,-15.1,-15.2,-14.3,-14.9,12.8,8.5,4.9,22.2,0
USC00083163,"FT LAUDERDALE, FL US",22.2,26.8,17.6,-8.5,-15.1,-15.2,-14.4,-14.9,12.9,8.6,5.0,22.3,0
USC00083163,"FT LAUDERDALE, FL US",22.3,26.9,17.7,-8.5,-15.1,-15.2,-14.4,-14.9,13.1,8.7,5.1,22.4,0
USC00083163,"FT LAUDERDALE, FL US",22.4,27.0,17.8,-8.6,-15.2,-15.2,-14.4,-15.0,13.3,8.8,5.2,22.5,0
USC00083163,"FT LAUDERDALE, FL US",22.5,27.1,17.9,-8.6,-15.2,-15.2,-14.4,-15.0,13.5,8.9,5.3,22.6,0
USC00083163,"FT LAUDERDALE, FL US",22.6,27.2,18.1,-8.6,-15.2,-15.2,-14.5,-15.0,13.7,9.1,5.4,22.7,0
USC00083163,"FT LAUDERDALE, FL US",22.7,27.3,18.2,-8.6,-15.2,-15.2,-14.5,-15.0,13.8,9.2,5.5,22.8,0
USC00083163,"FT LAUDERDALE, FL US",22.8,27.4,18.3,-8.7,-15.2,-15.2,-14.6,-15.0,14.0,9.3,5.6,22.9,0
USC00083163,"FT LAUDERDALE, FL US",22.9,27.5,18.4,-8.7,-15.2,-15.2,-14.6,-15.0,14.2,9.4,5.7,23.1,0
USC00083163,"FT LAUDERDALE, FL US",23.1,27.6,18.6,-8.7,-15.2,-15.2,-14.6,-15.0,14.4,9.6,5.8,23.2,0
USC00083163,"FT LAUDERDALE, FL US",23.2,27.7,18.7,-8.8,-15.3,-15.2,-14.6,-15.1,14.6,9.7,5.9,23.3,0
USC00083163,"FT LAUDERDALE, FL US",23.3,27.8,18.8,-8.8,-15.3,-15.3,-14.7,-15.1,14.8,9.9,6.1,23.4,0
USC00083163,"FT LAUDERDALE, FL US",23.4,27.9,18.9,-8.8,-15.3,-15.3,-14.7,-15.1,15.1,10.1,6.2,23.6,0
USC00083163,"FT LAUDERDALE, FL US",23.6,28.0,19.1,-8.9,-15.3,-15.3,-14.7,-15.1,15.4,10.4,6.4,23.7,0
USC00083163,"FT LAUDERDALE, FL US",23.7,28.1,19.2,-8.9,-15.4,-15.3,-14.7,-15.0,15.7,10.6,6.5,23.8,0
USC00083163,"FT LAUDERDALE, FL US",23.8,28.2,19.3,-8.9,-15.4,-15.3,-14.8,-15.0,16.0,10.9,6.7,23.9,0
USC00083163,"FT LAUDERDALE, FL US",23.9,28.3,19.4,-8.9,-15.4,-15.3,-14.8,-15.0,16.2,11.1,6.8,23.9,0
USC00083163,"FT LAUDERDALE, FL US",23.9,28.3,19.6,-9.0,-15.4,-15.3,-14.8,-15.0,16.5,11.3,6.9,24.1,0
