STATION,NAME,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-DUTR-NORMAL,DLY-TAVG-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,DLY-DUTR-STDDEV,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE025HI,DLY-PRCP-PCTALL-GE050HI,Target_Temperature,Rain_Tomorrow
USC00086315,"N MIAMI BEACH #2, FL US",20.3,24.6,16.0,-9.3,-13.9,-14.5,-12.8,-14.6,17.5,8.8,4.9,20.2,0
USC00086315,"N MIAMI BEACH #2, FL US",20.2,24.4,15.9,-9.2,-13.9,-14.5,-12.8,-14.6,17.4,8.8,4.9,20.1,0
USC00086315,"N MIAMI BEACH #2, FL US",20.1,24.4,15.8,-9.2,-13.9,-14.4,-12.8,-14.6,17.3,8.8,4.9,20.0,0
USC00086315,"N MIAMI BEACH #2, FL US",20.0,24.3,15.7,-9.2,-13.9,-14.4,-12.8,-14.7,17.2,8.8,4.9,19.9,0
USC00086315,"N MIAMI BEACH #2, FL US",19.9,24.3,15.6,-9.1,-13.8,-14.4,-12.8,-14.7,17.2,8.9,4.9,19.8,0
USC00086315,"N MIAMI BEACH #2, FL US",19.8,24.2,15.5,-9.1,-13.8,-14.4,-12.8,-14.7,17.0,8.9,4.9,19.8,0
USC00086315,"N MIAMI BEACH #2, FL US",19.8,24.1,15.4,-9.1,-13.8,-14.4,-12.8,-14.7,16.9,8.9,5.0,19.7,0
USC00086315,"N MIAMI BEACH #2, FL US",19.7,24.1,15.3,-9.1,-13.8,-14.4,-12.8,-14.7,16.8,8.9,5.0,19.7,0
USC00086315,"N MIAMI BEACH #2, FL US",19.7,24.0,15.3,-9.0,-13.8,-14.4,-12.8,-14.7,16.8,9.0,5.1,19.6,0
USC00086315,"N MIAMI BEACH #2, FL US",19.6,24.0,15.2,-9.0,-13.8,-14.4,-12.8,-14.7,16.7,9.1,5.2,19.6,0
USC00086315,"N MIAMI BEACH #2, FL US",19.6,23.9,15.1,-8.9,-13.8,-14.4,-12.9,-14.7,16.6,9.2,5.2,19.5,0
USC00086315,"N MIAMI BEACH #2, FL US",19.5,23.9,15.1,-8.9,-13.8,-14.4,-12.9,-14.7,16.6,9.3,5.3,19.4,0
USC00086315,"N MIAMI BEACH #2, FL US",19.4,23.8,15.0,-8.9,-13.9,-14.4,-12.9,-14.7,16.5,9.3,5.4,19.4,0
USC00086315,"N MIAMI BEACH #2, FL US",19.4,23.8,15.0,-8.9,-13.9,-14.4,-12.9,-14.8,16.3,9.3,5.5,19.4,0
USC00086315,"N MIAMI BEACH #2, FL US",19.4,23.8,14.9,-8.9,-13.9,-14.4,-12.9,-14.8,16.2,9.4,5.6,19.3,0
USC00086315,"N MIAMI BEACH #2, FL US",19.3,23.8,14.9,-8.9,-13.9,-14.4,-13.0,-14.8,16.1,9.4,5.7,19.3,0
USC00086315,"N MIAMI BEACH #2, FL US",19.3,23.8,14.9,-8.9,-13.9,-14.5,-13.0,-14.8,16.0,9.5,5.7,19.3,0
USC00086315,"N MIAMI BEACH #2, FL US",19.3,23.8,14.9,-8.9,-14.0,-14.5,-13.1,-14.8,15.9,9.6,5.9,19.3,0
USC00086315,"N MIAMI BEACH #2, FL US",19.3,23.8,14.9,-8.9,-14.1,-14.6,-13.1,-14.8,15.7,9.6,6.0,19.3,0
USC00086315,"N MIAMI BEACH #2, FL US",19.3,23.8,14.9,-8.9,-14.1,-14.6,-13.2,-14.8,15.6,9.7,6.1,19.3,0
