STATION,NAME,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-DUTR-NORMAL,DLY-TAVG-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,DLY-DUTR-STDDEV,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE025HI,DLY-PRCP-PCTALL-GE050HI,Target_Temperature,Rain_Tomorrow
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.7,25.4,16.1,-8.5,-14.1,-14.5,-13.2,-14.9,9.8,5.3,3.1,20.7,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.7,25.3,15.9,-8.4,-14.1,-14.5,-13.2,-14.9,9.7,5.4,3.1,20.6,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.6,25.2,15.8,-8.4,-14.1,-14.5,-13.2,-14.9,9.7,5.5,3.1,20.4,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.4,25.2,15.7,-8.3,-14.0,-14.5,-13.2,-14.9,9.6,5.5,3.2,20.4,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.4,25.1,15.7,-8.3,-14.0,-14.5,-13.2,-15.0,9.6,5.6,3.3,20.3,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.3,25.1,15.6,-8.3,-14.0,-14.4,-13.2,-15.0,9.5,5.6,3.3,20.2,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.2,25.0,15.4,-8.2,-14.0,-14.4,-13.2,-15.0,9.5,5.7,3.4,20.2,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.2,24.9,15.4,-8.2,-14.0,-14.4,-13.2,-15.1,9.5,5.8,3.5,20.1,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.1,24.9,15.3,-8.2,-14.0,-14.4,-13.2,-15.1,9.5,5.9,3.6,20.1,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.1,24.8,15.2,-8.1,-14.0,-14.4,-13.2,-15.1,9.5,6.0,3.7,20.0,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.0,24.8,15.1,-8.1,-14.0,-14.4,-13.2,-15.1,9.5,6.1,3.7,19.9,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.9,24.8,15.1,-8.1,-14.0,-14.4,-13.2,-15.1,9.6,6.2,3.8,19.9,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.9,24.8,15.0,-8.1,-14.1,-14.4,-13.2,-15.1,9.6,6.3,3.9,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,15.0,-8.0,-14.1,-14.4,-13.3,-15.1,9.6,6.4,4.0,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,14.9,-8.0,-14.1,-14.5,-13.3,-15.1,9.7,6.5,4.1,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,14.9,-7.9,-14.1,-14.5,-13.3,-15.1,9.7,6.6,4.2,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,14.9,-7.9,-14.1,-14.6,-13.3,-15.1,9.8,6.8,4.4,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,14.9,-7.9,-14.2,-14.6,-13.4,-15.1,9.9,6.9,4.5,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.7,14.9,-7.9,-14.2,-14.6,-13.4,-15.1,10.0,7.1,4.6,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.8,14.9,-7.9,-14.2,-14.6,-13.4,-15.1,10.1,7.2,4.8,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.8,14.9,-7.9,-14.3,-14.7,-13.5,-15.1,10.2,7.4,4.9,19.8,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.8,24.8,14.9,-7.9,-14.3,-14.7,-13.5,-15.1,10.2,7.5,5.1,19.9,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.9,24.8,14.9,-7.9,-14.3,-14.7,-13.6,-15.1,10.3,7.6,5.2,19.9,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.9,24.9,15.0,-7.9,-14.3,-14.7,-13.6,-15.1,10.4,7.7,5.3,19.9,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",19.9,24.9,15.0,-7.9,-14.4,-14.8,-13.6,-15.1,10.5,7.9,5.4,20.0,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.0,24.9,15.1,-7.9,-14.4,-14.8,-13.6,-15.1,10.6,8.0,5.5,20.1,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.1,25.0,15.1,-7.9,-14.4,-14.8,-13.6,-15.1,10.7,8.1,5.7,20.1,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.1,25.1,15.2,-7.9,-14.4,-14.8,-13.6,-15.1,10.8,8.2,5.8,20.2,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.2,25.1,15.3,-7.9,-14.4,-14.8,-13.6,-15.1,10.9,8.3,5.9,20.3,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.3,25.2,15.3,-7.9,-14.4,-14.7,-13.6,-15.1,11.0,8.4,5.9,20.3,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.3,25.3,15.4,-7.9,-14.4,-14.7,-13.6,-15.1,11.1,8.4,6.0,20.4,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.4,25.3,15.5,-7.9,-14.4,-14.7,-13.6,-15.1,11.2,8.5,6.1,20.5,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.5,25.4,15.6,-7.9,-14.4,-14.7,-13.6,-15.1,11.2,8.5,6.1,20.6,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.6,25.4,15.7,-8.0,-14.4,-14.7,-13.6,-15.1,11.3,8.5,6.1,20.7,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.7,25.6,15.7,-8.0,-14.4,-14.7,-13.6,-15.1,11.3,8.5,6.1,20.7,0
USW00012882,"MIAMI OPA LOCKA AP, FL US",20.7,25.6,15.8,-8.0,-14.4,-14.7,-13.6,-15.1,11.3,8.5,6.0,20.8,0
